Node Name, Edge Length
r,10.5
rf,2.8
rff,4.1
rfff,2.3
rffff,2.5
rfffb,4.4
rfffbf,3.2
rffb,4.1
rffbf,2.4
rffbff,2.4
rffbfb,5.9
rffbfbf,3.5
rffbfbff,4.5
rffbfbfb,2.4
rffbfbfbf,2.4
rffbfbfbb,2.6
rffbb,5
rffbbf,5
rfb,5.5
rfbf,0.8
rfbfb,4.7
rfbfbf,0.8
rfbfbff,5
rfbfbfb,3.1
rfbfbfbf,3.5
rfbfbfbb,2.4
rfbb,5.5
rfbbf,7.1
rfbbb,5
