Edge Index,Length
0,10.5
1,2.4
2,8.1
3,4.7
4,2.6
5,6.9
6,16.5
7,4.4
8,2.3
9,2.5
10,2.8
11,7.1
12,9.6
13,5
14,9.6
15,5
16,3.2
17,3.5
18,3.2
19,3.5
