Edge Index,Length
0,3.44123
1,2.6611
2,3.1832
3,2.63253
4,0.963242
5,16.5478
6,2.34788
7,16.5478
8,8.72364
9,3.56097
10,5.96529
11,1.02928
12,5.90863
13,3.42439
14,5.90863
15,2.00256
16,5.98088
17,2.6079
18,5.98694
19,1.8714
20,6.0051
21,2.05159
22,6.0051
23,5.9135
24,6.01334
25,7.33717
26,3.98556
27,1.95576
28,3.98556
29,7.95693
30,18.6592
31,7.99602
32,10.7311
33,1.95506
34,10.7311
35,29.7887
