Edge Index,Length
0,18.82
1,43.9
2,7.8
3,8.01
4,8.14173
5,8.01
6,15.82
7,51.89
8,18.77
9,51.89
10,11.81
11,16.09
12,11.81
13,18.7
14,18.77
15,18.7
16,31.7617
17,18.7
18,18.82
19,78.66
