Edge Index,Length
0,5.61
1,4.66
2,23
3,51.43
4,51.72
5,34.44
6,28.65
7,13.71
8,17.28
9,13.71
10,22.91
11,22.71
12,5.81
13,5.81
14,2.66
15,11.45
16,2.66
17,5.75
18,5.64
19,44.805
