Node Name, Edge Length
r,5.61
rb,22.91
rbf,28.65
rbb,22.71
rbbf,11.45
rbbff,44.805
rbbffb,2.98
rbbfb,2.66
rbbfbf,5.81
rbbfbfb,5.81
rbbfbb,2.66
rbbfbbf,5.75
rbbfbbff,0.07
rbbfbbfff,4.66
rbbfbbffb,2.66
rbbfbbfb,5.81
rbbb,34.44
rbbbb,13.71
rbbbbf,23.07
rbbbbff,51.43
rbbbbffb,17.12
rbbbbfb,13.71
rbbbbfbf,17.28
rbbbbb,28.65
